4708,2397,4708,2436
4668,152,4668,187
4649,2400,4649,2435
4609,243,4609,279
4554,220,4554,261
4552,219,4552,261
4533,220,4533,261
4531,220,4531,261
4467,2255,4467,2316
4459,2393,4459,2435
4355,2393,4355,2435
4339,2400,4339,2435
4334,2256,4334,2317
4332,2255,4332,2317
4294,2398,4294,2435
4268,2400,4268,2431
4266,2400,4266,2431
4249,2256,4249,2314
4247,2255,4247,2316
4236,2393,4236,2436
4220,2401,4220,2434
4210,597,4210,787
4208,597,4208,787
4172,2400,4172,2431
4170,2400,4170,2431
4054,480,4054,514
4039,482,4039,513
4032,822,4032,866
4030,822,4030,866
4017,968,4017,1006
4015,969,4015,1006
3858,466,3858,2383
3856,640,3856,743
3694,595,3694,2383
3692,595,3692,2380
3577,595,3577,2254
3575,595,3575,2382
3573,595,3573,2252
3503,2276,3503,2364
3459,1824,3459,1927
3457,1824,3457,1926
3412,428,3412,464
3396,1859,3396,1892
3394,428,3394,463
3381,1860,3381,1891
3376,424,3376,468
3374,424,3374,468
3372,433,3372,468
3323,1860,3323,1891
3292,1824,3292,1926
3191,1824,3191,1927
3100,1188,3100,1233
3098,1190,3098,1233
3096,1192,3096,1223
2916,640,2916,743
2914,466,2914,739
2912,653,2912,730
2792,990,2792,1022
4264,2446,4296,2446
4765,2398,4799,2398
3574,2368,3859,2368
4371,2292,4431,2292
4380,2281,4423,2281
4303,2273,4362,2273
4440,2271,4498,2271
4234,2271,4294,2271
4380,2270,4425,2270
4374,2260,4430,2260
3572,2248,3696,2248
3572,2224,3696,2224
3190,1924,3459,1924
3205,1899,3258,1899
3457,1874,3577,1874
3225,1849,3278,1849
3190,1824,3459,1824
3064,1243,3136,1243
3572,1185,3696,1185
2770,969,2822,969
4008,952,4095,952
3064,937,3134,937
2770,893,2821,893
4001,877,4090,877
3691,786,4222,786
3691,784,3815,784
2958,784,3577,784
3201,692,3564,692
3607,691,3951,691
2815,691,3158,691
2960,598,4221,598
2968,596,3807,596
4034,525,4121,525
2913,478,3859,478
2923,476,2954,476
4512,261,4572,261
4587,254,4632,254
4589,243,4640,243
4516,230,4570,230
4662,202,4761,202
